arch,dtype,state_dtype,b,sq,num_k_heads,num_v_heads,head_k_dim,head_v_dim,NUM_BLOCKS_PER_V_DIM,NUM_WARPS,WARP_THREADS_K,duration
gfx950,torch.bfloat16,torch.bfloat16,1,1,2,8,128,128,8,4,16,4.398999999999887
gfx950,torch.bfloat16,torch.bfloat16,2,1,2,8,128,128,8,4,16,4.579000000000065
gfx950,torch.bfloat16,torch.bfloat16,3,1,2,8,128,128,8,4,16,4.638999999999953
gfx950,torch.bfloat16,torch.bfloat16,4,1,2,8,128,128,8,4,16,4.719000000000051
gfx950,torch.bfloat16,torch.bfloat16,5,1,2,8,128,128,8,4,16,4.95900000000006
gfx950,torch.bfloat16,torch.bfloat16,6,1,2,8,128,128,8,4,16,5.119000000000142
gfx950,torch.bfloat16,torch.bfloat16,7,1,2,8,128,128,8,4,16,5.239000000000033
gfx950,torch.bfloat16,torch.bfloat16,8,1,2,8,128,128,8,4,16,5.399000000000001
gfx950,torch.bfloat16,torch.bfloat16,9,1,2,8,128,128,8,4,16,5.679000000000087
gfx950,torch.bfloat16,torch.bfloat16,10,1,2,8,128,128,8,4,16,5.838999999999942
gfx950,torch.bfloat16,torch.bfloat16,11,1,2,8,128,128,8,4,16,5.899499999999989
gfx950,torch.bfloat16,torch.bfloat16,12,1,2,8,128,128,8,4,16,5.939499999999953
gfx950,torch.bfloat16,torch.bfloat16,13,1,2,8,128,128,8,4,16,6.198999999999899
gfx950,torch.bfloat16,torch.bfloat16,14,1,2,8,128,128,8,4,16,6.278999999999996
gfx950,torch.bfloat16,torch.bfloat16,15,1,2,8,128,128,8,4,16,6.419000000000096
gfx950,torch.bfloat16,torch.bfloat16,16,1,2,8,128,128,8,4,16,6.5190000000000055
gfx950,torch.bfloat16,torch.bfloat16,17,1,2,8,128,128,8,4,16,6.81899999999996
gfx950,torch.bfloat16,torch.bfloat16,18,1,2,8,128,128,8,4,16,6.919000000000096
gfx950,torch.bfloat16,torch.bfloat16,19,1,2,8,128,128,8,4,16,6.99899999999991
gfx950,torch.bfloat16,torch.bfloat16,20,1,2,8,128,128,8,4,16,7.098999999999933
gfx950,torch.bfloat16,torch.bfloat16,21,1,2,8,128,128,8,4,16,7.479000000000042
gfx950,torch.bfloat16,torch.bfloat16,22,1,2,8,128,128,8,4,16,7.579499999999939
gfx950,torch.bfloat16,torch.bfloat16,23,1,2,8,128,128,4,4,16,7.67899999999986
gfx950,torch.bfloat16,torch.bfloat16,24,1,2,8,128,128,4,4,16,7.739499999999907
gfx950,torch.bfloat16,torch.bfloat16,25,1,2,8,128,128,4,4,16,8.19900000000007
gfx950,torch.bfloat16,torch.bfloat16,26,1,2,8,128,128,4,4,16,8.27900000000011
gfx950,torch.bfloat16,torch.bfloat16,27,1,2,8,128,128,8,4,16,8.259000000000015
gfx950,torch.bfloat16,torch.bfloat16,28,1,2,8,128,128,8,4,16,8.399000000000115
gfx950,torch.bfloat16,torch.bfloat16,29,1,2,8,128,128,4,4,16,8.6995
gfx950,torch.bfloat16,torch.bfloat16,30,1,2,8,128,128,4,4,16,8.739000000000033
gfx950,torch.bfloat16,torch.bfloat16,31,1,2,8,128,128,4,2,8,8.819000000000074
gfx950,torch.bfloat16,torch.bfloat16,32,1,2,8,128,128,2,4,8,8.959500000000048
gfx950,torch.bfloat16,torch.bfloat16,33,1,2,8,128,128,4,4,16,9.219499999999925
gfx950,torch.bfloat16,torch.bfloat16,34,1,2,8,128,128,4,4,16,9.478999999999928
gfx950,torch.bfloat16,torch.bfloat16,35,1,2,8,128,128,4,4,16,9.519000000000005
gfx950,torch.bfloat16,torch.bfloat16,36,1,2,8,128,128,4,4,16,9.599500000000035
gfx950,torch.bfloat16,torch.bfloat16,37,1,2,8,128,128,4,4,16,9.719000000000051
gfx950,torch.bfloat16,torch.bfloat16,38,1,2,8,128,128,4,4,16,9.878999999999905
gfx950,torch.bfloat16,torch.bfloat16,39,1,2,8,128,128,4,4,16,9.959999999999923
gfx950,torch.bfloat16,torch.bfloat16,40,1,2,8,128,128,4,4,16,10.07899999999995
gfx950,torch.bfloat16,torch.bfloat16,41,1,2,8,128,128,4,4,16,10.259500000000003
gfx950,torch.bfloat16,torch.bfloat16,42,1,2,8,128,128,2,4,16,10.41900000000004
gfx950,torch.bfloat16,torch.bfloat16,43,1,2,8,128,128,4,4,16,10.298999999999978
gfx950,torch.bfloat16,torch.bfloat16,44,1,2,8,128,128,2,4,16,10.619499999999903
gfx950,torch.bfloat16,torch.bfloat16,45,1,2,8,128,128,4,4,16,10.559000000000083
gfx950,torch.bfloat16,torch.bfloat16,46,1,2,8,128,128,2,4,16,10.678999999999945
gfx950,torch.bfloat16,torch.bfloat16,47,1,2,8,128,128,4,4,16,10.778999999999996
gfx950,torch.bfloat16,torch.bfloat16,48,1,2,8,128,128,4,4,16,10.819499999999948
gfx950,torch.bfloat16,torch.bfloat16,49,1,2,8,128,128,4,4,16,11.139499999999884
gfx950,torch.bfloat16,torch.bfloat16,50,1,2,8,128,128,2,4,16,11.358999999999924
gfx950,torch.bfloat16,torch.bfloat16,51,1,2,8,128,128,4,2,16,11.379000000000019
gfx950,torch.bfloat16,torch.bfloat16,52,1,2,8,128,128,4,2,16,11.419000000000096
gfx950,torch.bfloat16,torch.bfloat16,53,1,2,8,128,128,4,4,16,11.339499999999987
gfx950,torch.bfloat16,torch.bfloat16,54,1,2,8,128,128,4,4,16,11.579000000000065
gfx950,torch.bfloat16,torch.bfloat16,55,1,2,8,128,128,4,4,16,11.599500000000035
gfx950,torch.bfloat16,torch.bfloat16,56,1,2,8,128,128,4,4,16,11.798999999999978
gfx950,torch.bfloat16,torch.bfloat16,57,1,2,8,128,128,4,2,16,11.859499999999798
gfx950,torch.bfloat16,torch.bfloat16,58,1,2,8,128,128,2,4,16,12.058999999999855
gfx950,torch.bfloat16,torch.bfloat16,59,1,2,8,128,128,2,4,16,12.01900000000012
gfx950,torch.bfloat16,torch.bfloat16,60,1,2,8,128,128,2,4,16,12.199500000000057
gfx950,torch.bfloat16,torch.bfloat16,61,1,2,8,128,128,2,4,16,12.198999999999955
gfx950,torch.bfloat16,torch.bfloat16,62,1,2,8,128,128,2,4,16,12.119500000000016
gfx950,torch.bfloat16,torch.bfloat16,63,1,2,8,128,128,2,4,16,12.339000000000055
gfx950,torch.bfloat16,torch.bfloat16,64,1,2,8,128,128,2,4,16,12.399500000000103
gfx950,torch.bfloat16,torch.bfloat16,65,1,2,8,128,128,4,2,16,12.878999999999905
gfx950,torch.bfloat16,torch.bfloat16,66,1,2,8,128,128,4,2,16,12.898999999999887
gfx950,torch.bfloat16,torch.bfloat16,67,1,2,8,128,128,8,1,16,13.119000000000142
gfx950,torch.bfloat16,torch.bfloat16,68,1,2,8,128,128,2,4,16,13.179500000000075
gfx950,torch.bfloat16,torch.bfloat16,69,1,2,8,128,128,8,1,16,13.239000000000033
gfx950,torch.bfloat16,torch.bfloat16,70,1,2,8,128,128,8,1,16,13.219499999999925
gfx950,torch.bfloat16,torch.bfloat16,71,1,2,8,128,128,8,1,16,13.238999999999919
gfx950,torch.bfloat16,torch.bfloat16,72,1,2,8,128,128,8,1,16,13.358999999999924
gfx950,torch.bfloat16,torch.bfloat16,73,1,2,8,128,128,8,1,16,13.478999999999814
gfx950,torch.bfloat16,torch.bfloat16,74,1,2,8,128,128,8,1,16,13.419499999999971
gfx950,torch.bfloat16,torch.bfloat16,75,1,2,8,128,128,8,1,16,13.479000000000156
gfx950,torch.bfloat16,torch.bfloat16,76,1,2,8,128,128,8,1,16,13.559499999999957
gfx950,torch.bfloat16,torch.bfloat16,77,1,2,8,128,128,8,1,16,13.59900000000016
gfx950,torch.bfloat16,torch.bfloat16,78,1,2,8,128,128,8,1,16,13.598999999999933
gfx950,torch.bfloat16,torch.bfloat16,79,1,2,8,128,128,8,1,16,13.759000000000015
gfx950,torch.bfloat16,torch.bfloat16,80,1,2,8,128,128,8,1,16,13.778999999999996
gfx950,torch.bfloat16,torch.bfloat16,81,1,2,8,128,128,8,1,16,13.999499999999898
gfx950,torch.bfloat16,torch.bfloat16,82,1,2,8,128,128,8,1,16,14.19900000000007
gfx950,torch.bfloat16,torch.bfloat16,83,1,2,8,128,128,8,1,16,14.279500000000098
gfx950,torch.bfloat16,torch.bfloat16,84,1,2,8,128,128,8,1,16,14.29950000000008
gfx950,torch.bfloat16,torch.bfloat16,85,1,2,8,128,128,8,1,16,14.319499999999948
gfx950,torch.bfloat16,torch.bfloat16,86,1,2,8,128,128,8,1,16,14.479500000000144
gfx950,torch.bfloat16,torch.bfloat16,87,1,2,8,128,128,8,1,16,14.579500000000053
gfx950,torch.bfloat16,torch.bfloat16,88,1,2,8,128,128,8,1,16,14.699499999999887
gfx950,torch.bfloat16,torch.bfloat16,89,1,2,8,128,128,8,1,16,14.918999999999983
gfx950,torch.bfloat16,torch.bfloat16,90,1,2,8,128,128,8,1,16,14.879500000000007
gfx950,torch.bfloat16,torch.bfloat16,91,1,2,8,128,128,8,1,16,14.978999999999814
gfx950,torch.bfloat16,torch.bfloat16,92,1,2,8,128,128,8,1,16,14.918999999999983
gfx950,torch.bfloat16,torch.bfloat16,93,1,2,8,128,128,8,1,16,14.93950000000018
gfx950,torch.bfloat16,torch.bfloat16,94,1,2,8,128,128,8,1,16,15.239000000000033
gfx950,torch.bfloat16,torch.bfloat16,95,1,2,8,128,128,4,1,8,15.399000000000115
gfx950,torch.bfloat16,torch.bfloat16,96,1,2,8,128,128,4,1,8,15.399000000000228
gfx950,torch.bfloat16,torch.bfloat16,97,1,2,8,128,128,2,2,8,16.239000000000033
gfx950,torch.bfloat16,torch.bfloat16,98,1,2,8,128,128,2,2,8,16.378999999999905
gfx950,torch.bfloat16,torch.bfloat16,99,1,2,8,128,128,2,2,8,16.59900000000016
gfx950,torch.bfloat16,torch.bfloat16,100,1,2,8,128,128,2,2,8,16.739000000000033
gfx950,torch.bfloat16,torch.bfloat16,101,1,2,8,128,128,4,4,16,16.999000000000024
gfx950,torch.bfloat16,torch.bfloat16,102,1,2,8,128,128,2,2,8,17.038999999999987
gfx950,torch.bfloat16,torch.bfloat16,103,1,2,8,128,128,2,2,8,17.25999999999999
gfx950,torch.bfloat16,torch.bfloat16,104,1,2,8,128,128,2,2,8,17.119000000000142
gfx950,torch.bfloat16,torch.bfloat16,105,1,2,8,128,128,2,2,8,17.259500000000003
gfx950,torch.bfloat16,torch.bfloat16,106,1,2,8,128,128,2,2,8,17.338999999999942
gfx950,torch.bfloat16,torch.bfloat16,107,1,2,8,128,128,2,2,8,17.319499999999834
gfx950,torch.bfloat16,torch.bfloat16,108,1,2,8,128,128,2,2,8,17.559499999999844
gfx950,torch.bfloat16,torch.bfloat16,109,1,2,8,128,128,2,2,8,17.458999999999946
gfx950,torch.bfloat16,torch.bfloat16,110,1,2,8,128,128,2,2,8,17.69900000000007
gfx950,torch.bfloat16,torch.bfloat16,111,1,2,8,128,128,2,2,8,17.679000000000087
gfx950,torch.bfloat16,torch.bfloat16,112,1,2,8,128,128,2,2,8,17.73950000000002
gfx950,torch.bfloat16,torch.bfloat16,113,1,2,8,128,128,2,2,8,18.019499999999994
gfx950,torch.bfloat16,torch.bfloat16,114,1,2,8,128,128,2,2,8,18.178999999999746
gfx950,torch.bfloat16,torch.bfloat16,115,1,2,8,128,128,4,1,16,18.19900000000007
gfx950,torch.bfloat16,torch.bfloat16,116,1,2,8,128,128,4,1,16,18.31899999999996
gfx950,torch.bfloat16,torch.bfloat16,117,1,2,8,128,128,2,2,16,18.47950000000003
gfx950,torch.bfloat16,torch.bfloat16,118,1,2,8,128,128,4,1,16,18.61950000000013
gfx950,torch.bfloat16,torch.bfloat16,119,1,2,8,128,128,2,2,16,18.598999999999933
gfx950,torch.bfloat16,torch.bfloat16,120,1,2,8,128,128,2,2,16,18.718999999999824
gfx950,torch.bfloat16,torch.bfloat16,121,1,2,8,128,128,2,2,16,18.81899999999996
gfx950,torch.bfloat16,torch.bfloat16,122,1,2,8,128,128,2,2,16,18.898999999999887
gfx950,torch.bfloat16,torch.bfloat16,123,1,2,8,128,128,2,2,16,18.919500000000085
gfx950,torch.bfloat16,torch.bfloat16,124,1,2,8,128,128,4,1,16,18.918999999999983
gfx950,torch.bfloat16,torch.bfloat16,125,1,2,8,128,128,2,2,16,19.019499999999994
gfx950,torch.bfloat16,torch.bfloat16,126,1,2,8,128,128,4,1,16,19.07900000000018
gfx950,torch.bfloat16,torch.bfloat16,127,1,2,8,128,128,4,1,16,19.158999999999878
gfx950,torch.bfloat16,torch.bfloat16,128,1,2,8,128,128,4,1,16,19.199499999999944
gfx950,torch.bfloat16,torch.bfloat16,1,1,4,8,128,128,8,4,16,4.359000000000151
gfx950,torch.bfloat16,torch.bfloat16,2,1,4,8,128,128,8,4,16,4.5190000000000055
gfx950,torch.bfloat16,torch.bfloat16,3,1,4,8,128,128,8,4,16,4.63900000000001
gfx950,torch.bfloat16,torch.bfloat16,4,1,4,8,128,128,8,4,16,4.7590000000000146
gfx950,torch.bfloat16,torch.bfloat16,5,1,4,8,128,128,8,4,16,4.95900000000006
gfx950,torch.bfloat16,torch.bfloat16,6,1,4,8,128,128,8,4,16,5.158999999999992
gfx950,torch.bfloat16,torch.bfloat16,7,1,4,8,128,128,8,4,16,5.239000000000033
gfx950,torch.bfloat16,torch.bfloat16,8,1,4,8,128,128,8,4,16,5.378999999999962
gfx950,torch.bfloat16,torch.bfloat16,9,1,4,8,128,128,8,4,16,5.7590000000000146
gfx950,torch.bfloat16,torch.bfloat16,10,1,4,8,128,128,8,4,16,5.819499999999948
gfx950,torch.bfloat16,torch.bfloat16,11,1,4,8,128,128,8,4,16,5.919000000000096
gfx950,torch.bfloat16,torch.bfloat16,12,1,4,8,128,128,8,4,16,5.999000000000024
gfx950,torch.bfloat16,torch.bfloat16,13,1,4,8,128,128,8,4,16,6.239000000000033
gfx950,torch.bfloat16,torch.bfloat16,14,1,4,8,128,128,8,4,16,6.358999999999924
gfx950,torch.bfloat16,torch.bfloat16,15,1,4,8,128,128,8,4,16,6.45900000000006
gfx950,torch.bfloat16,torch.bfloat16,16,1,4,8,128,128,8,4,16,6.558999999999969
gfx950,torch.bfloat16,torch.bfloat16,17,1,4,8,128,128,8,4,16,6.839000000000169
gfx950,torch.bfloat16,torch.bfloat16,18,1,4,8,128,128,8,4,16,6.919000000000096
gfx950,torch.bfloat16,torch.bfloat16,19,1,4,8,128,128,8,4,16,7.0190000000000055
gfx950,torch.bfloat16,torch.bfloat16,20,1,4,8,128,128,8,4,16,7.119000000000028
gfx950,torch.bfloat16,torch.bfloat16,21,1,4,8,128,128,8,4,16,7.439000000000078
gfx950,torch.bfloat16,torch.bfloat16,22,1,4,8,128,128,8,4,16,7.558999999999969
gfx950,torch.bfloat16,torch.bfloat16,23,1,4,8,128,128,4,4,16,7.638999999999896
gfx950,torch.bfloat16,torch.bfloat16,24,1,4,8,128,128,8,4,16,7.7590000000000146
gfx950,torch.bfloat16,torch.bfloat16,25,1,4,8,128,128,4,4,16,8.278999999999996
gfx950,torch.bfloat16,torch.bfloat16,26,1,4,8,128,128,4,4,16,8.298999999999978
gfx950,torch.bfloat16,torch.bfloat16,27,1,4,8,128,128,8,4,16,8.419500000000085
gfx950,torch.bfloat16,torch.bfloat16,28,1,4,8,128,128,8,4,16,8.499000000000024
gfx950,torch.bfloat16,torch.bfloat16,29,1,4,8,128,128,8,4,16,8.659500000000094
gfx950,torch.bfloat16,torch.bfloat16,30,1,4,8,128,128,8,1,8,8.759000000000015
gfx950,torch.bfloat16,torch.bfloat16,31,1,4,8,128,128,2,4,8,8.819000000000074
gfx950,torch.bfloat16,torch.bfloat16,32,1,4,8,128,128,2,4,8,8.97950000000003
gfx950,torch.bfloat16,torch.bfloat16,33,1,4,8,128,128,4,4,16,9.298999999999978
gfx950,torch.bfloat16,torch.bfloat16,34,1,4,8,128,128,4,4,16,9.399000000000115
gfx950,torch.bfloat16,torch.bfloat16,35,1,4,8,128,128,4,4,16,9.559000000000083
gfx950,torch.bfloat16,torch.bfloat16,36,1,4,8,128,128,4,4,16,9.699499999999944
gfx950,torch.bfloat16,torch.bfloat16,37,1,4,8,128,128,4,4,16,9.699499999999944
gfx950,torch.bfloat16,torch.bfloat16,38,1,4,8,128,128,4,4,16,9.778999999999996
gfx950,torch.bfloat16,torch.bfloat16,39,1,4,8,128,128,4,4,16,9.918999999999983
gfx950,torch.bfloat16,torch.bfloat16,40,1,4,8,128,128,4,4,16,9.999000000000024
gfx950,torch.bfloat16,torch.bfloat16,41,1,4,8,128,128,2,4,16,10.338999999999942
gfx950,torch.bfloat16,torch.bfloat16,42,1,4,8,128,128,4,4,16,10.438999999999965
gfx950,torch.bfloat16,torch.bfloat16,43,1,4,8,128,128,4,4,16,10.43899999999985
gfx950,torch.bfloat16,torch.bfloat16,44,1,4,8,128,128,4,4,16,10.57899999999995
gfx950,torch.bfloat16,torch.bfloat16,45,1,4,8,128,128,4,4,16,10.63900000000001
gfx950,torch.bfloat16,torch.bfloat16,46,1,4,8,128,128,4,4,16,10.679500000000075
gfx950,torch.bfloat16,torch.bfloat16,47,1,4,8,128,128,4,4,16,10.778999999999996
gfx950,torch.bfloat16,torch.bfloat16,48,1,4,8,128,128,4,4,16,10.678999999999974
gfx950,torch.bfloat16,torch.bfloat16,49,1,4,8,128,128,4,4,16,11.199000000000012
gfx950,torch.bfloat16,torch.bfloat16,50,1,4,8,128,128,4,4,16,11.279499999999985
gfx950,torch.bfloat16,torch.bfloat16,51,1,4,8,128,128,2,4,16,11.47950000000003
gfx950,torch.bfloat16,torch.bfloat16,52,1,4,8,128,128,4,4,16,11.499000000000024
gfx950,torch.bfloat16,torch.bfloat16,53,1,4,8,128,128,4,2,16,11.619499999999903
gfx950,torch.bfloat16,torch.bfloat16,54,1,4,8,128,128,4,4,16,11.55900000000014
gfx950,torch.bfloat16,torch.bfloat16,55,1,4,8,128,128,4,4,16,11.678999999999917
gfx950,torch.bfloat16,torch.bfloat16,56,1,4,8,128,128,4,4,16,11.778999999999996
gfx950,torch.bfloat16,torch.bfloat16,57,1,4,8,128,128,4,2,16,11.919500000000028
gfx950,torch.bfloat16,torch.bfloat16,58,1,4,8,128,128,4,2,16,12.019000000000005
gfx950,torch.bfloat16,torch.bfloat16,59,1,4,8,128,128,2,4,16,12.079000000000178
gfx950,torch.bfloat16,torch.bfloat16,60,1,4,8,128,128,2,4,16,12.259500000000116
gfx950,torch.bfloat16,torch.bfloat16,61,1,4,8,128,128,2,4,16,12.199999999999932
gfx950,torch.bfloat16,torch.bfloat16,62,1,4,8,128,128,2,4,16,12.319500000000062
gfx950,torch.bfloat16,torch.bfloat16,63,1,4,8,128,128,2,4,16,12.378999999999905
gfx950,torch.bfloat16,torch.bfloat16,64,1,4,8,128,128,4,4,16,12.418999999999869
gfx950,torch.bfloat16,torch.bfloat16,65,1,4,8,128,128,4,2,16,12.899000000000115
gfx950,torch.bfloat16,torch.bfloat16,66,1,4,8,128,128,4,2,16,12.959500000000048
gfx950,torch.bfloat16,torch.bfloat16,67,1,4,8,128,128,2,4,16,13.158999999999992
gfx950,torch.bfloat16,torch.bfloat16,68,1,4,8,128,128,2,4,16,13.179499999999734
gfx950,torch.bfloat16,torch.bfloat16,69,1,4,8,128,128,4,2,16,13.239000000000033
gfx950,torch.bfloat16,torch.bfloat16,70,1,4,8,128,128,8,1,16,13.239000000000033
gfx950,torch.bfloat16,torch.bfloat16,71,1,4,8,128,128,2,4,16,13.320000000000164
gfx950,torch.bfloat16,torch.bfloat16,72,1,4,8,128,128,8,1,16,13.359500000000025
gfx950,torch.bfloat16,torch.bfloat16,73,1,4,8,128,128,8,1,16,13.439499999999953
gfx950,torch.bfloat16,torch.bfloat16,74,1,4,8,128,128,8,1,16,13.478999999999814
gfx950,torch.bfloat16,torch.bfloat16,75,1,4,8,128,128,8,1,16,13.479000000000156
gfx950,torch.bfloat16,torch.bfloat16,76,1,4,8,128,128,8,1,16,13.63900000000001
gfx950,torch.bfloat16,torch.bfloat16,77,1,4,8,128,128,8,1,16,13.638999999999896
gfx950,torch.bfloat16,torch.bfloat16,78,1,4,8,128,128,8,1,16,13.619499999999789
gfx950,torch.bfloat16,torch.bfloat16,79,1,4,8,128,128,8,1,16,13.778999999999996
gfx950,torch.bfloat16,torch.bfloat16,80,1,4,8,128,128,8,1,16,13.739000000000033
gfx950,torch.bfloat16,torch.bfloat16,81,1,4,8,128,128,8,1,16,13.999499999999898
gfx950,torch.bfloat16,torch.bfloat16,82,1,4,8,128,128,8,1,16,14.158999999999992
gfx950,torch.bfloat16,torch.bfloat16,83,1,4,8,128,128,8,1,16,14.119500000000016
gfx950,torch.bfloat16,torch.bfloat16,84,1,4,8,128,128,4,1,8,14.45900000000006
gfx950,torch.bfloat16,torch.bfloat16,85,1,4,8,128,128,8,1,16,14.538999999999987
gfx950,torch.bfloat16,torch.bfloat16,86,1,4,8,128,128,8,1,16,14.539000000000101
gfx950,torch.bfloat16,torch.bfloat16,87,1,4,8,128,128,8,1,16,14.519500000000107
gfx950,torch.bfloat16,torch.bfloat16,88,1,4,8,128,128,8,1,16,14.779499999999985
gfx950,torch.bfloat16,torch.bfloat16,89,1,4,8,128,128,8,1,16,14.77949999999987
gfx950,torch.bfloat16,torch.bfloat16,90,1,4,8,128,128,8,1,16,14.919000000000096
gfx950,torch.bfloat16,torch.bfloat16,91,1,4,8,128,128,8,1,16,14.939499999999953
gfx950,torch.bfloat16,torch.bfloat16,92,1,4,8,128,128,8,1,16,15.138999999999896
gfx950,torch.bfloat16,torch.bfloat16,93,1,4,8,128,128,4,1,8,15.398999999999887
gfx950,torch.bfloat16,torch.bfloat16,94,1,4,8,128,128,8,1,16,15.419000000000096
gfx950,torch.bfloat16,torch.bfloat16,95,1,4,8,128,128,4,2,16,15.339499999999816
gfx950,torch.bfloat16,torch.bfloat16,96,1,4,8,128,128,8,1,16,15.399500000000103
gfx950,torch.bfloat16,torch.bfloat16,97,1,4,8,128,128,2,2,8,16.318999999999733
gfx950,torch.bfloat16,torch.bfloat16,98,1,4,8,128,128,2,2,8,16.33949999999993
gfx950,torch.bfloat16,torch.bfloat16,99,1,4,8,128,128,2,2,8,16.698999999999955
gfx950,torch.bfloat16,torch.bfloat16,100,1,4,8,128,128,2,2,8,16.838999999999942
gfx950,torch.bfloat16,torch.bfloat16,101,1,4,8,128,128,1,4,8,17.019999999999982
gfx950,torch.bfloat16,torch.bfloat16,102,1,4,8,128,128,2,2,8,16.99899999999991
gfx950,torch.bfloat16,torch.bfloat16,103,1,4,8,128,128,2,2,8,17.119500000000016
gfx950,torch.bfloat16,torch.bfloat16,104,1,4,8,128,128,2,2,8,17.19900000000007
gfx950,torch.bfloat16,torch.bfloat16,105,1,4,8,128,128,1,4,8,17.33949999999993
gfx950,torch.bfloat16,torch.bfloat16,106,1,4,8,128,128,2,2,8,17.319499999999834
gfx950,torch.bfloat16,torch.bfloat16,107,1,4,8,128,128,2,2,8,17.319000000000187
gfx950,torch.bfloat16,torch.bfloat16,108,1,4,8,128,128,2,2,8,17.658999999999992
gfx950,torch.bfloat16,torch.bfloat16,109,1,4,8,128,128,1,4,8,17.69950000000017
gfx950,torch.bfloat16,torch.bfloat16,110,1,4,8,128,128,2,2,8,17.63900000000001
gfx950,torch.bfloat16,torch.bfloat16,111,1,4,8,128,128,2,2,8,17.620000000000005
gfx950,torch.bfloat16,torch.bfloat16,112,1,4,8,128,128,2,2,8,17.838999999999942
gfx950,torch.bfloat16,torch.bfloat16,113,1,4,8,128,128,2,2,8,18.07900000000018
gfx950,torch.bfloat16,torch.bfloat16,114,1,4,8,128,128,4,1,16,18.159000000000106
gfx950,torch.bfloat16,torch.bfloat16,115,1,4,8,128,128,4,1,16,18.259000000000015
gfx950,torch.bfloat16,torch.bfloat16,116,1,4,8,128,128,1,4,8,18.31899999999996
gfx950,torch.bfloat16,torch.bfloat16,117,1,4,8,128,128,4,1,16,18.499500000000012
gfx950,torch.bfloat16,torch.bfloat16,118,1,4,8,128,128,2,2,16,18.47900000000027
gfx950,torch.bfloat16,torch.bfloat16,119,1,4,8,128,128,4,4,16,18.73950000000002
gfx950,torch.bfloat16,torch.bfloat16,120,1,4,8,128,128,1,4,8,18.759000000000015
gfx950,torch.bfloat16,torch.bfloat16,121,1,4,8,128,128,4,1,16,18.91949999999997
gfx950,torch.bfloat16,torch.bfloat16,122,1,4,8,128,128,2,2,16,18.95900000000006
gfx950,torch.bfloat16,torch.bfloat16,123,1,4,8,128,128,2,2,16,19.05899999999997
gfx950,torch.bfloat16,torch.bfloat16,124,1,4,8,128,128,4,1,16,18.978999999999814
gfx950,torch.bfloat16,torch.bfloat16,125,1,4,8,128,128,2,2,16,19.099500000000035
gfx950,torch.bfloat16,torch.bfloat16,126,1,4,8,128,128,2,2,8,19.178999999999974
gfx950,torch.bfloat16,torch.bfloat16,127,1,4,8,128,128,4,1,16,19.219500000000153
