M,N,K,bias,dtype,outdtype,scaleAB
1,2112,7168,False,torch.bfloat16,torch.bfloat16,False
2,2112,7168,False,torch.bfloat16,torch.bfloat16,False
4,2112,7168,False,torch.bfloat16,torch.bfloat16,False
8,2112,7168,False,torch.bfloat16,torch.bfloat16,False
16,2112,7168,False,torch.bfloat16,torch.bfloat16,False
24,2112,7168,False,torch.bfloat16,torch.bfloat16,False
32,2112,7168,False,torch.bfloat16,torch.bfloat16,False
40,2112,7168,False,torch.bfloat16,torch.bfloat16,False
48,2112,7168,False,torch.bfloat16,torch.bfloat16,False
56,2112,7168,False,torch.bfloat16,torch.bfloat16,False
64,2112,7168,False,torch.bfloat16,torch.bfloat16,False
72,2112,7168,False,torch.bfloat16,torch.bfloat16,False
80,2112,7168,False,torch.bfloat16,torch.bfloat16,False
88,2112,7168,False,torch.bfloat16,torch.bfloat16,False
96,2112,7168,False,torch.bfloat16,torch.bfloat16,False
104,2112,7168,False,torch.bfloat16,torch.bfloat16,False
112,2112,7168,False,torch.bfloat16,torch.bfloat16,False
120,2112,7168,False,torch.bfloat16,torch.bfloat16,False
128,2112,7168,False,torch.bfloat16,torch.bfloat16,False
136,2112,7168,False,torch.bfloat16,torch.bfloat16,False
144,2112,7168,False,torch.bfloat16,torch.bfloat16,False
152,2112,7168,False,torch.bfloat16,torch.bfloat16,False
160,2112,7168,False,torch.bfloat16,torch.bfloat16,False
168,2112,7168,False,torch.bfloat16,torch.bfloat16,False
176,2112,7168,False,torch.bfloat16,torch.bfloat16,False
184,2112,7168,False,torch.bfloat16,torch.bfloat16,False
192,2112,7168,False,torch.bfloat16,torch.bfloat16,False
200,2112,7168,False,torch.bfloat16,torch.bfloat16,False
208,2112,7168,False,torch.bfloat16,torch.bfloat16,False
216,2112,7168,False,torch.bfloat16,torch.bfloat16,False
224,2112,7168,False,torch.bfloat16,torch.bfloat16,False
232,2112,7168,False,torch.bfloat16,torch.bfloat16,False
240,2112,7168,False,torch.bfloat16,torch.bfloat16,False
248,2112,7168,False,torch.bfloat16,torch.bfloat16,False
256,2112,7168,False,torch.bfloat16,torch.bfloat16,False
264,2112,7168,False,torch.bfloat16,torch.bfloat16,False
272,2112,7168,False,torch.bfloat16,torch.bfloat16,False
280,2112,7168,False,torch.bfloat16,torch.bfloat16,False
288,2112,7168,False,torch.bfloat16,torch.bfloat16,False
296,2112,7168,False,torch.bfloat16,torch.bfloat16,False
304,2112,7168,False,torch.bfloat16,torch.bfloat16,False
312,2112,7168,False,torch.bfloat16,torch.bfloat16,False
320,2112,7168,False,torch.bfloat16,torch.bfloat16,False
328,2112,7168,False,torch.bfloat16,torch.bfloat16,False
336,2112,7168,False,torch.bfloat16,torch.bfloat16,False
344,2112,7168,False,torch.bfloat16,torch.bfloat16,False
352,2112,7168,False,torch.bfloat16,torch.bfloat16,False
360,2112,7168,False,torch.bfloat16,torch.bfloat16,False
368,2112,7168,False,torch.bfloat16,torch.bfloat16,False
376,2112,7168,False,torch.bfloat16,torch.bfloat16,False
384,2112,7168,False,torch.bfloat16,torch.bfloat16,False
392,2112,7168,False,torch.bfloat16,torch.bfloat16,False
400,2112,7168,False,torch.bfloat16,torch.bfloat16,False
408,2112,7168,False,torch.bfloat16,torch.bfloat16,False
416,2112,7168,False,torch.bfloat16,torch.bfloat16,False
424,2112,7168,False,torch.bfloat16,torch.bfloat16,False
432,2112,7168,False,torch.bfloat16,torch.bfloat16,False
440,2112,7168,False,torch.bfloat16,torch.bfloat16,False
448,2112,7168,False,torch.bfloat16,torch.bfloat16,False
456,2112,7168,False,torch.bfloat16,torch.bfloat16,False
464,2112,7168,False,torch.bfloat16,torch.bfloat16,False
472,2112,7168,False,torch.bfloat16,torch.bfloat16,False
480,2112,7168,False,torch.bfloat16,torch.bfloat16,False
488,2112,7168,False,torch.bfloat16,torch.bfloat16,False
496,2112,7168,False,torch.bfloat16,torch.bfloat16,False
504,2112,7168,False,torch.bfloat16,torch.bfloat16,False
512,2112,7168,False,torch.bfloat16,torch.bfloat16,False
1,3072,1536,False,torch.bfloat16,torch.bfloat16,False
2,3072,1536,False,torch.bfloat16,torch.bfloat16,False
4,3072,1536,False,torch.bfloat16,torch.bfloat16,False
8,3072,1536,False,torch.bfloat16,torch.bfloat16,False
16,3072,1536,False,torch.bfloat16,torch.bfloat16,False
24,3072,1536,False,torch.bfloat16,torch.bfloat16,False
32,3072,1536,False,torch.bfloat16,torch.bfloat16,False
40,3072,1536,False,torch.bfloat16,torch.bfloat16,False
48,3072,1536,False,torch.bfloat16,torch.bfloat16,False
56,3072,1536,False,torch.bfloat16,torch.bfloat16,False
64,3072,1536,False,torch.bfloat16,torch.bfloat16,False
72,3072,1536,False,torch.bfloat16,torch.bfloat16,False
80,3072,1536,False,torch.bfloat16,torch.bfloat16,False
88,3072,1536,False,torch.bfloat16,torch.bfloat16,False
96,3072,1536,False,torch.bfloat16,torch.bfloat16,False
104,3072,1536,False,torch.bfloat16,torch.bfloat16,False
112,3072,1536,False,torch.bfloat16,torch.bfloat16,False
120,3072,1536,False,torch.bfloat16,torch.bfloat16,False
128,3072,1536,False,torch.bfloat16,torch.bfloat16,False
136,3072,1536,False,torch.bfloat16,torch.bfloat16,False
144,3072,1536,False,torch.bfloat16,torch.bfloat16,False
152,3072,1536,False,torch.bfloat16,torch.bfloat16,False
160,3072,1536,False,torch.bfloat16,torch.bfloat16,False
168,3072,1536,False,torch.bfloat16,torch.bfloat16,False
176,3072,1536,False,torch.bfloat16,torch.bfloat16,False
184,3072,1536,False,torch.bfloat16,torch.bfloat16,False
192,3072,1536,False,torch.bfloat16,torch.bfloat16,False
200,3072,1536,False,torch.bfloat16,torch.bfloat16,False
208,3072,1536,False,torch.bfloat16,torch.bfloat16,False
216,3072,1536,False,torch.bfloat16,torch.bfloat16,False
224,3072,1536,False,torch.bfloat16,torch.bfloat16,False
232,3072,1536,False,torch.bfloat16,torch.bfloat16,False
240,3072,1536,False,torch.bfloat16,torch.bfloat16,False
248,3072,1536,False,torch.bfloat16,torch.bfloat16,False
256,3072,1536,False,torch.bfloat16,torch.bfloat16,False
264,3072,1536,False,torch.bfloat16,torch.bfloat16,False
272,3072,1536,False,torch.bfloat16,torch.bfloat16,False
280,3072,1536,False,torch.bfloat16,torch.bfloat16,False
288,3072,1536,False,torch.bfloat16,torch.bfloat16,False
296,3072,1536,False,torch.bfloat16,torch.bfloat16,False
304,3072,1536,False,torch.bfloat16,torch.bfloat16,False
312,3072,1536,False,torch.bfloat16,torch.bfloat16,False
320,3072,1536,False,torch.bfloat16,torch.bfloat16,False
328,3072,1536,False,torch.bfloat16,torch.bfloat16,False
336,3072,1536,False,torch.bfloat16,torch.bfloat16,False
344,3072,1536,False,torch.bfloat16,torch.bfloat16,False
352,3072,1536,False,torch.bfloat16,torch.bfloat16,False
360,3072,1536,False,torch.bfloat16,torch.bfloat16,False
368,3072,1536,False,torch.bfloat16,torch.bfloat16,False
376,3072,1536,False,torch.bfloat16,torch.bfloat16,False
384,3072,1536,False,torch.bfloat16,torch.bfloat16,False
392,3072,1536,False,torch.bfloat16,torch.bfloat16,False
400,3072,1536,False,torch.bfloat16,torch.bfloat16,False
408,3072,1536,False,torch.bfloat16,torch.bfloat16,False
416,3072,1536,False,torch.bfloat16,torch.bfloat16,False
424,3072,1536,False,torch.bfloat16,torch.bfloat16,False
432,3072,1536,False,torch.bfloat16,torch.bfloat16,False
440,3072,1536,False,torch.bfloat16,torch.bfloat16,False
448,3072,1536,False,torch.bfloat16,torch.bfloat16,False
456,3072,1536,False,torch.bfloat16,torch.bfloat16,False
464,3072,1536,False,torch.bfloat16,torch.bfloat16,False
472,3072,1536,False,torch.bfloat16,torch.bfloat16,False
480,3072,1536,False,torch.bfloat16,torch.bfloat16,False
488,3072,1536,False,torch.bfloat16,torch.bfloat16,False
496,3072,1536,False,torch.bfloat16,torch.bfloat16,False
504,3072,1536,False,torch.bfloat16,torch.bfloat16,False
512,3072,1536,False,torch.bfloat16,torch.bfloat16,False
1,1536,1536,False,torch.bfloat16,torch.bfloat16,False
2,1536,1536,False,torch.bfloat16,torch.bfloat16,False
4,1536,1536,False,torch.bfloat16,torch.bfloat16,False
8,1536,1536,False,torch.bfloat16,torch.bfloat16,False
16,1536,1536,False,torch.bfloat16,torch.bfloat16,False
24,1536,1536,False,torch.bfloat16,torch.bfloat16,False
32,1536,1536,False,torch.bfloat16,torch.bfloat16,False
40,1536,1536,False,torch.bfloat16,torch.bfloat16,False
48,1536,1536,False,torch.bfloat16,torch.bfloat16,False
56,1536,1536,False,torch.bfloat16,torch.bfloat16,False
64,1536,1536,False,torch.bfloat16,torch.bfloat16,False
72,1536,1536,False,torch.bfloat16,torch.bfloat16,False
80,1536,1536,False,torch.bfloat16,torch.bfloat16,False
88,1536,1536,False,torch.bfloat16,torch.bfloat16,False
96,1536,1536,False,torch.bfloat16,torch.bfloat16,False
104,1536,1536,False,torch.bfloat16,torch.bfloat16,False
112,1536,1536,False,torch.bfloat16,torch.bfloat16,False
120,1536,1536,False,torch.bfloat16,torch.bfloat16,False
128,1536,1536,False,torch.bfloat16,torch.bfloat16,False
136,1536,1536,False,torch.bfloat16,torch.bfloat16,False
144,1536,1536,False,torch.bfloat16,torch.bfloat16,False
152,1536,1536,False,torch.bfloat16,torch.bfloat16,False
160,1536,1536,False,torch.bfloat16,torch.bfloat16,False
168,1536,1536,False,torch.bfloat16,torch.bfloat16,False
176,1536,1536,False,torch.bfloat16,torch.bfloat16,False
184,1536,1536,False,torch.bfloat16,torch.bfloat16,False
192,1536,1536,False,torch.bfloat16,torch.bfloat16,False
200,1536,1536,False,torch.bfloat16,torch.bfloat16,False
208,1536,1536,False,torch.bfloat16,torch.bfloat16,False
216,1536,1536,False,torch.bfloat16,torch.bfloat16,False
224,1536,1536,False,torch.bfloat16,torch.bfloat16,False
232,1536,1536,False,torch.bfloat16,torch.bfloat16,False
240,1536,1536,False,torch.bfloat16,torch.bfloat16,False
248,1536,1536,False,torch.bfloat16,torch.bfloat16,False
256,1536,1536,False,torch.bfloat16,torch.bfloat16,False
264,1536,1536,False,torch.bfloat16,torch.bfloat16,False
272,1536,1536,False,torch.bfloat16,torch.bfloat16,False
280,1536,1536,False,torch.bfloat16,torch.bfloat16,False
288,1536,1536,False,torch.bfloat16,torch.bfloat16,False
296,1536,1536,False,torch.bfloat16,torch.bfloat16,False
304,1536,1536,False,torch.bfloat16,torch.bfloat16,False
312,1536,1536,False,torch.bfloat16,torch.bfloat16,False
320,1536,1536,False,torch.bfloat16,torch.bfloat16,False
328,1536,1536,False,torch.bfloat16,torch.bfloat16,False
336,1536,1536,False,torch.bfloat16,torch.bfloat16,False
344,1536,1536,False,torch.bfloat16,torch.bfloat16,False
352,1536,1536,False,torch.bfloat16,torch.bfloat16,False
360,1536,1536,False,torch.bfloat16,torch.bfloat16,False
368,1536,1536,False,torch.bfloat16,torch.bfloat16,False
376,1536,1536,False,torch.bfloat16,torch.bfloat16,False
384,1536,1536,False,torch.bfloat16,torch.bfloat16,False
392,1536,1536,False,torch.bfloat16,torch.bfloat16,False
400,1536,1536,False,torch.bfloat16,torch.bfloat16,False
408,1536,1536,False,torch.bfloat16,torch.bfloat16,False
416,1536,1536,False,torch.bfloat16,torch.bfloat16,False
424,1536,1536,False,torch.bfloat16,torch.bfloat16,False
432,1536,1536,False,torch.bfloat16,torch.bfloat16,False
440,1536,1536,False,torch.bfloat16,torch.bfloat16,False
448,1536,1536,False,torch.bfloat16,torch.bfloat16,False
456,1536,1536,False,torch.bfloat16,torch.bfloat16,False
464,1536,1536,False,torch.bfloat16,torch.bfloat16,False
472,1536,1536,False,torch.bfloat16,torch.bfloat16,False
480,1536,1536,False,torch.bfloat16,torch.bfloat16,False
488,1536,1536,False,torch.bfloat16,torch.bfloat16,False
496,1536,1536,False,torch.bfloat16,torch.bfloat16,False
504,1536,1536,False,torch.bfloat16,torch.bfloat16,False
512,1536,1536,False,torch.bfloat16,torch.bfloat16,False
1,4096,512,False,torch.bfloat16,torch.bfloat16,False
2,4096,512,False,torch.bfloat16,torch.bfloat16,False
4,4096,512,False,torch.bfloat16,torch.bfloat16,False
8,4096,512,False,torch.bfloat16,torch.bfloat16,False
16,4096,512,False,torch.bfloat16,torch.bfloat16,False
24,4096,512,False,torch.bfloat16,torch.bfloat16,False
32,4096,512,False,torch.bfloat16,torch.bfloat16,False
40,4096,512,False,torch.bfloat16,torch.bfloat16,False
48,4096,512,False,torch.bfloat16,torch.bfloat16,False
56,4096,512,False,torch.bfloat16,torch.bfloat16,False
64,4096,512,False,torch.bfloat16,torch.bfloat16,False
72,4096,512,False,torch.bfloat16,torch.bfloat16,False
80,4096,512,False,torch.bfloat16,torch.bfloat16,False
88,4096,512,False,torch.bfloat16,torch.bfloat16,False
96,4096,512,False,torch.bfloat16,torch.bfloat16,False
104,4096,512,False,torch.bfloat16,torch.bfloat16,False
112,4096,512,False,torch.bfloat16,torch.bfloat16,False
120,4096,512,False,torch.bfloat16,torch.bfloat16,False
128,4096,512,False,torch.bfloat16,torch.bfloat16,False
136,4096,512,False,torch.bfloat16,torch.bfloat16,False
144,4096,512,False,torch.bfloat16,torch.bfloat16,False
152,4096,512,False,torch.bfloat16,torch.bfloat16,False
160,4096,512,False,torch.bfloat16,torch.bfloat16,False
168,4096,512,False,torch.bfloat16,torch.bfloat16,False
176,4096,512,False,torch.bfloat16,torch.bfloat16,False
184,4096,512,False,torch.bfloat16,torch.bfloat16,False
192,4096,512,False,torch.bfloat16,torch.bfloat16,False
200,4096,512,False,torch.bfloat16,torch.bfloat16,False
208,4096,512,False,torch.bfloat16,torch.bfloat16,False
216,4096,512,False,torch.bfloat16,torch.bfloat16,False
224,4096,512,False,torch.bfloat16,torch.bfloat16,False
232,4096,512,False,torch.bfloat16,torch.bfloat16,False
240,4096,512,False,torch.bfloat16,torch.bfloat16,False
248,4096,512,False,torch.bfloat16,torch.bfloat16,False
256,4096,512,False,torch.bfloat16,torch.bfloat16,False
264,4096,512,False,torch.bfloat16,torch.bfloat16,False
272,4096,512,False,torch.bfloat16,torch.bfloat16,False
280,4096,512,False,torch.bfloat16,torch.bfloat16,False
288,4096,512,False,torch.bfloat16,torch.bfloat16,False
296,4096,512,False,torch.bfloat16,torch.bfloat16,False
304,4096,512,False,torch.bfloat16,torch.bfloat16,False
312,4096,512,False,torch.bfloat16,torch.bfloat16,False
320,4096,512,False,torch.bfloat16,torch.bfloat16,False
328,4096,512,False,torch.bfloat16,torch.bfloat16,False
336,4096,512,False,torch.bfloat16,torch.bfloat16,False
344,4096,512,False,torch.bfloat16,torch.bfloat16,False
352,4096,512,False,torch.bfloat16,torch.bfloat16,False
360,4096,512,False,torch.bfloat16,torch.bfloat16,False
368,4096,512,False,torch.bfloat16,torch.bfloat16,False
376,4096,512,False,torch.bfloat16,torch.bfloat16,False
384,4096,512,False,torch.bfloat16,torch.bfloat16,False
392,4096,512,False,torch.bfloat16,torch.bfloat16,False
400,4096,512,False,torch.bfloat16,torch.bfloat16,False
408,4096,512,False,torch.bfloat16,torch.bfloat16,False
416,4096,512,False,torch.bfloat16,torch.bfloat16,False
424,4096,512,False,torch.bfloat16,torch.bfloat16,False
432,4096,512,False,torch.bfloat16,torch.bfloat16,False
440,4096,512,False,torch.bfloat16,torch.bfloat16,False
448,4096,512,False,torch.bfloat16,torch.bfloat16,False
456,4096,512,False,torch.bfloat16,torch.bfloat16,False
464,4096,512,False,torch.bfloat16,torch.bfloat16,False
472,4096,512,False,torch.bfloat16,torch.bfloat16,False
480,4096,512,False,torch.bfloat16,torch.bfloat16,False
488,4096,512,False,torch.bfloat16,torch.bfloat16,False
496,4096,512,False,torch.bfloat16,torch.bfloat16,False
504,4096,512,False,torch.bfloat16,torch.bfloat16,False
512,4096,512,False,torch.bfloat16,torch.bfloat16,False
1,7168,2048,False,torch.bfloat16,torch.bfloat16,False
2,7168,2048,False,torch.bfloat16,torch.bfloat16,False
4,7168,2048,False,torch.bfloat16,torch.bfloat16,False
8,7168,2048,False,torch.bfloat16,torch.bfloat16,False
16,7168,2048,False,torch.bfloat16,torch.bfloat16,False
24,7168,2048,False,torch.bfloat16,torch.bfloat16,False
32,7168,2048,False,torch.bfloat16,torch.bfloat16,False
40,7168,2048,False,torch.bfloat16,torch.bfloat16,False
48,7168,2048,False,torch.bfloat16,torch.bfloat16,False
56,7168,2048,False,torch.bfloat16,torch.bfloat16,False
64,7168,2048,False,torch.bfloat16,torch.bfloat16,False
72,7168,2048,False,torch.bfloat16,torch.bfloat16,False
80,7168,2048,False,torch.bfloat16,torch.bfloat16,False
88,7168,2048,False,torch.bfloat16,torch.bfloat16,False
96,7168,2048,False,torch.bfloat16,torch.bfloat16,False
104,7168,2048,False,torch.bfloat16,torch.bfloat16,False
112,7168,2048,False,torch.bfloat16,torch.bfloat16,False
120,7168,2048,False,torch.bfloat16,torch.bfloat16,False
128,7168,2048,False,torch.bfloat16,torch.bfloat16,False
136,7168,2048,False,torch.bfloat16,torch.bfloat16,False
144,7168,2048,False,torch.bfloat16,torch.bfloat16,False
152,7168,2048,False,torch.bfloat16,torch.bfloat16,False
160,7168,2048,False,torch.bfloat16,torch.bfloat16,False
168,7168,2048,False,torch.bfloat16,torch.bfloat16,False
176,7168,2048,False,torch.bfloat16,torch.bfloat16,False
184,7168,2048,False,torch.bfloat16,torch.bfloat16,False
192,7168,2048,False,torch.bfloat16,torch.bfloat16,False
200,7168,2048,False,torch.bfloat16,torch.bfloat16,False
208,7168,2048,False,torch.bfloat16,torch.bfloat16,False
216,7168,2048,False,torch.bfloat16,torch.bfloat16,False
224,7168,2048,False,torch.bfloat16,torch.bfloat16,False
232,7168,2048,False,torch.bfloat16,torch.bfloat16,False
